tenured,minority,age,evaluation,gender,students,beauty
0,1,36,4.3,Female,43,0.2015666
1,0,59,4.5,Male,20,-0.8260813
1,0,51,3.7,Male,55,-0.6603327
1,0,40,4.3,Female,46,-0.7663125
0,0,31,4.4,Female,48,1.421445
1,0,62,4.2,Male,282,0.5002196
0,0,33,4,Female,41,-0.2143501
1,0,51,3.4,Female,41,-0.346539
0,0,33,4.5,Female,60,0.0613435
0,0,47,3.9,Male,19,0.4525679
0,1,35,3.1,Male,25,0.1432643
0,0,37,4,Male,34,-0.1550228
1,0,42,3.8,Male,40,0.1285433
1,0,49,3.4,Male,36,-0.3470453
0,0,37,2.9,Female,28,0.4619388
1,0,45,4.5,Male,33,-0.1503849
0,0,56,4,Female,41,-1.070734
0,0,48,3.8,Male,135,-0.1426931
1,0,46,4.3,Female,31,-0.1563634
0,0,57,3.4,Female,28,-0.0589354
0,0,52,3.4,Female,22,0.1511368
0,1,29,3.3,Female,26,-0.937076
1,0,62,4.3,Male,39,-0.8214405
1,0,64,4.4,Male,24,-0.1994712
0,0,34,4.6,Female,26,1.687167
1,0,58,4.2,Male,159,-0.4101976
1,1,52,4,Male,16,0.1233448
1,0,73,3.3,Male,17,-0.8059942
1,0,70,4.4,Male,134,-0.8210418
0,0,41,2.3,Female,12,0.3198185
0,0,63,3.5,Male,43,-0.0985568
1,0,47,4.7,Male,15,-1.012306
1,0,39,3.9,Male,246,0.4883314
0,1,47,4,Female,21,-0.1719505
1,0,54,4.3,Male,15,-1.167907
1,1,44,3.8,Female,55,0.9525534
1,1,47,3.8,Male,27,-1.140457
1,0,62,4,Male,13,-0.8161172
1,0,60,4.6,Male,34,-0.4837456
0,0,37,3.5,Male,17,0.8450468
0,0,42,4.7,Male,14,-0.3261277
1,0,35,4.2,Male,51,0.1865589
0,0,39,3.4,Female,24,1.881674
1,0,49,3.9,Male,45,0.9626006
1,0,61,4.5,Male,27,0.1534694
0,0,33,4.7,Male,31,1.261046
1,0,58,3.5,Female,34,0.0232144
1,0,56,3.7,Female,19,-0.3460746
0,0,50,4,Female,27,-0.744618
1,0,52,4.1,Male,67,-0.7447439
0,0,33,4.4,Female,15,0.6361284
1,0,57,4.2,Male,77,0.5434852
1,0,38,4.5,Female,65,0.9825948
0,0,34,3.8,Female,91,-1.538843
0,0,34,3.1,Male,36,1.067531
0,0,32,3.7,Male,248,-0.4143639
1,0,42,3.9,Female,62,0.7962944
1,0,43,4,Female,51,-0.6466943
0,0,35,3.3,Male,19,-0.4299034
1,0,62,3.1,Female,27,-0.5924066
1,0,42,4,Male,86,-0.9889295
1,0,39,4.3,Male,29,0.5546651
1,0,52,3.7,Female,88,0.6851749
1,0,52,3.4,Female,44,0.9755885
0,0,52,4.3,Female,75,-1.178738
1,0,64,3.7,Male,11,-1.157511
1,0,50,4.2,Male,16,1.327346
1,0,60,2.2,Male,32,-1.511268
1,0,51,3,Female,67,0.3034731
0,0,43,4.3,Male,22,-0.5783117
0,1,50,4.6,Male,24,-0.671936
1,0,52,3.5,Male,69,0.6683338
1,0,51,4.6,Male,574,0.7924695
1,0,38,3.7,Male,87,-0.6548505
1,0,47,3.8,Female,24,0.2510546
1,1,43,3.6,Female,103,-0.2397178
0,0,38,4.4,Female,68,-1.113346
1,0,43,4.1,Male,13,-0.1135935
1,0,57,4.3,Male,13,-0.8351366
